2.78	-0.7	-0.72	3.28	8021.86
1.14	-0.86	2.46	0.84	3484.05
2.49	-0.47	-0.52	0.72	4530.82
-0.76	-1.02	0.03	1.1	486.24
0.08	0.44	1.38	3.38	378.6
0.38	0.17	2.41	2.43	1711.25
3.14	2.19	2.89	3.32	8787.37
3.04	0.87	0.07	3.18	8068.72
0.92	1.08	-0.39	2.79	945.49
0.41	-0.52	-0.96	-0.78	494.78
-1.01	-1.09	0.12	2.39	1132.87
2.44	2.44	1.48	2.14	3240.48
3.23	-0.65	1.36	0.99	12452.67
3.03	1.94	-0.48	0.83	7087.02
-0.41	-0.4	2.55	-0.67	5754.31
0.45	1.9	1.46	0.79	931.71
-1.47	1.52	0.89	3.21	833.84
-0.27	2.14	-1.01	1.63	3595.8
-0.04	0.09	1.59	1.87	296.59
0.52	3.19	3.19	2.2	12104.61
2.75	2.18	-0.22	2.18	5829.92
2.18	1.77	2.74	-0.59	7467.03
2.17	3.18	1.53	1.52	7673.3
-1.1	2.31	-0.77	-1.2	4180.15
2.08	0.41	0.54	0.82	1577.3
1.0	-0.85	2.45	-0.89	5396.86
-0.15	-0.6	2.54	3.05	1677.33
0.84	2.12	0.54	2.54	2270.8
1.31	-0.15	0.55	2.26	760.86
2.53	3.27	0.5	-1.44	11663.13
2.03	2.99	-0.76	2.33	9852.3
2.42	0.92	-1.05	0.51	2837.77
0.68	2.5	1.79	-1.38	4508.72
2.66	3.18	-0.23	0.73	12268.96
1.76	1.03	2.71	2.39	3157.26
-0.54	-1.29	2.24	0.04	2770.12
-1.46	-0.53	-0.76	2.59	1233.22
2.78	0.62	-0.39	1.92	5430.7
2.39	0.13	0.82	2.53	3528.27
2.15	1.85	2.62	0.36	5068.47
0.63	1.52	0.82	2.44	661.15
2.85	-0.63	-1.32	-0.94	8686.39
2.31	2.97	2.77	2.64	6762.92
3.25	1.84	0.13	1.84	9006.99
2.22	2.73	0.84	-0.99	5148.35
2.37	0.94	-1.33	0.1	2963.17
1.92	3.05	3.21	2.8	9393.44
1.55	0.31	1.62	0.71	1037.74
1.67	0.89	-0.6	1.43	671.89
1.73	3.32	0.2	-0.57	11766.9
1.76	-0.32	1.77	-1.48	3576.89
1.73	0.51	-1.23	1.54	844.34
0.94	0.34	1.76	-0.9	1899.05
1.64	-1.12	-1.48	-1.42	3513.55
2.09	-0.03	-0.15	-0.3	1950.58
1.34	2.76	3.23	1.61	9810.65
-0.76	2.39	3.49	1.41	12432.99
1.64	0.3	2.19	0.44	2911.9
3.46	-1.25	-1.48	-0.82	19330.27
-0.28	0.25	-0.83	-0.83	318.86
3.05	2.41	1.01	-0.19	7205.46
0.7	3.34	2.93	1.4	12749.87
0.3	-0.15	1.44	0.35	505.78
3.22	0.24	3.47	-0.75	27795.22
2.96	-0.89	-0.03	1.24	9544.93
0.67	2.71	0.59	-0.2	5106.29
-0.78	-1.09	2.26	2.72	982.54
2.14	0.07	1.02	0.53	2164.91
0.98	-0.37	1.69	0.37	1038.63
0.44	-0.66	1.12	1.82	154.78
1.62	2.24	-0.53	0.14	3098.61
2.28	2.86	-1.15	0.17	9393.5
1.0	-0.26	1.71	1.43	653.83
0.65	0.41	1.46	1.24	247.09
1.19	0.14	1.9	1.02	1188.83
1.9	-0.16	1.32	2.47	1644.04
-0.56	3.21	0.19	0.74	11125.94
-0.64	1.23	3.44	-0.51	15683.82
-0.08	3.13	1.69	0.18	8270.2
1.68	0.86	1.68	0.72	916.49
-0.27	-1.14	1.55	-0.58	1049.41
1.88	2.66	1.48	-0.94	4191.23
-0.58	-1.08	-0.97	2.54	923.46
2.8	3.48	2.74	2.93	12789.26
2.41	2.83	-1.5	1.02	10091.7
0.32	2.17	0.63	-0.94	2271.94
3.49	0.32	0.36	0.39	14086.69
3.17	1.06	1.3	2.94	8244.2
-1.44	2.08	3.08	-1.29	11779.88
-0.84	3.05	2.0	-0.67	8071.75
1.66	1.08	-0.68	2.68	1116.72
-0.03	-1.09	2.37	2.11	1495.84
1.9	-0.32	-1.5	2.23	1810.1
2.45	0.37	2.54	0.81	6937.63
1.26	-1.34	1.66	0.28	1477.76
0.1	1.1	0.89	-1.06	472.91
0.28	-1.0	0.13	0.61	232.44
-0.22	2.2	1.83	2.23	1497.76
3.06	-1.19	1.29	1.12	11178.17
0.36	-0.77	1.78	3.31	228.0
-0.62	2.07	-1.0	0.38	3123.35
2.36	2.84	-1.15	2.33	9349.16
-0.03	-0.52	-0.58	2.76	692.7
-0.2	2.76	-0.43	2.73	7870.56
-0.96	1.99	-0.98	1.25	2571.74
0.15	0.61	0.65	1.68	201.37
1.95	-0.16	1.86	1.35	2354.67
-0.85	0.36	0.74	1.12	87.06
-0.53	1.17	-1.22	-0.22	1048.45
2.94	-0.35	0.07	-0.57	8128.26
0.92	0.85	0.43	1.7	238.46
-0.27	-1.23	3.21	1.06	9014.58
-0.52	0.45	2.47	3.03	1465.2
2.21	-1.14	2.03	0.61	4922.07
-0.86	3.1	-0.82	0.54	11448.57
2.21	-0.77	1.94	0.81	4256.21
1.06	1.82	0.93	-0.93	938.93
1.42	-0.85	3.23	-0.77	14009.45
0.46	1.62	0.53	0.88	673.8
-0.2	1.32	-1.38	1.83	1146.54
0.06	-0.61	3.21	1.35	8868.97
2.31	0.6	-1.14	2.67	2662.32
2.66	2.66	-0.42	3.3	8551.37
2.53	-0.62	3.13	1.54	12510.28
3.41	-1.32	1.89	-0.86	18743.84
0.14	0.72	3.36	3.21	7390.91
2.56	-1.18	-0.21	2.11	6673.07
0.72	2.12	0.36	-1.39	2198.5
0.35	1.01	0.07	-1.22	320.36
1.39	-1.41	2.96	-0.96	10672.17
2.75	-0.6	3.09	0.08	16382.41
-0.31	-0.93	2.24	-0.06	2879.56
-1.21	-1.42	0.46	2.14	1456.95
-1.05	2.43	2.9	-0.36	8780.32
0.62	3.06	2.38	-0.76	9726.53
0.65	-0.82	-1.28	2.1	565.51
2.1	-1.13	-0.68	1.99	3694.03
-1.06	3.26	1.01	-1.01	10127.73
-0.73	1.38	2.4	2.1	1440.98
0.41	2.91	1.75	2.84	5274.6
1.05	-1.39	1.75	3.16	631.8
1.58	3.33	-0.92	0.53	14510.32
3.13	0.74	1.3	1.89	8268.05
3.09	2.56	-1.38	1.02	11268.24
1.23	0.37	0.75	1.3	223.11
0.14	-0.4	3.21	0.28	11003.7
0.21	2.06	1.62	-1.34	2668.49
1.72	1.99	3.48	0.31	14049.42
2.59	0.69	-1.43	1.09	4084.79
1.91	1.69	-0.98	0.52	1879.6
1.92	1.29	2.35	-0.66	4446.4
1.78	2.81	0.1	1.98	6483.55
0.02	-0.0	0.48	0.36	26.95
-0.96	1.05	0.27	-0.91	171.94
0.71	1.98	3.19	0.28	10070.3
1.81	2.33	-1.1	1.56	4371.25
1.73	-0.31	-0.47	1.87	1399.32
3.25	1.02	1.18	3.26	9461.77
1.91	0.52	2.22	1.62	2455.69
2.53	0.67	-0.96	2.74	3819.77
3.23	3.44	1.09	0.68	16469.31
0.55	-0.41	0.25	2.74	771.09
2.6	1.47	-0.24	2.98	4233.2
-1.01	0.95	1.14	1.03	17.46
-1.4	0.5	1.07	0.63	312.93
1.12	2.76	-1.4	0.76	8511.27
1.84	-0.63	1.21	1.22	1687.98
-0.16	1.96	-0.7	-1.01	2666.96
0.93	0.51	3.32	2.1	8915.44
0.29	0.51	0.27	1.13	131.17
1.61	-0.36	1.79	2.71	1174.44
0.02	-0.46	-0.71	2.99	730.12
2.32	0.15	-0.14	0.51	2768.26
0.38	0.1	1.1	0.78	138.7
-0.07	3.24	-0.96	0.42	14209.41
-0.04	-0.33	1.35	1.44	182.63
3.41	-1.06	3.37	0.84	27679.61
0.44	2.85	-1.21	1.31	9426.2
-1.36	0.26	2.56	0.52	4522.87
2.56	0.39	-0.31	1.65	4066.33
0.32	-0.03	0.41	0.13	20.51
1.33	1.64	1.05	1.86	328.39
1.94	1.01	3.0	2.48	5406.16
-1.13	2.62	1.06	2.31	3697.42
-0.31	-0.53	2.71	2.46	3021.68
3.17	1.31	1.23	-0.97	8281.8
1.41	0.64	-0.73	2.76	810.89
-1.18	0.82	2.47	-0.71	5001.68
1.24	2.34	0.45	-0.06	2599.1
2.56	-1.47	2.15	1.67	7319.41
2.36	-0.75	2.29	-1.16	8399.99
1.41	2.97	0.54	-0.16	6978.4
3.41	0.96	3.12	-0.37	22084.33
1.22	2.91	3.39	0.87	14073.11
-0.99	0.74	-1.08	3.12	660.68
-0.12	1.44	0.71	3.11	1069.78
0.76	1.97	0.34	0.06	1449.42
-0.08	-1.17	0.58	0.97	246.82
0.21	3.17	-0.57	1.84	12490.58
3.14	2.03	1.37	-0.51	7462.52
1.65	-0.75	2.62	3.08	3067.43
2.79	-0.64	3.1	-1.37	19886.71
1.12	1.44	2.26	-0.47	3119.68
0.63	0.13	0.0	2.64	706.01
0.88	0.66	1.8	1.67	434.73
