-0.06	1.28	1.44	0.44	2.15	818.18
3.11	0.2	0.4	2.42	-1.11	14356.33
3.0	1.9	-0.19	0.7	2.03	6772.55
1.6	-0.95	3.47	-1.19	-0.14	19654.09
0.57	2.36	3.5	0.67	2.49	14677.13
1.52	2.32	-0.87	2.24	-0.84	7567.41
-0.64	1.83	-0.13	-0.75	0.53	1478.67
0.91	-1.1	-0.99	-0.38	1.95	1377.05
-0.44	-1.33	1.4	1.07	1.01	334.44
1.99	2.15	1.89	-0.4	-0.12	2664.95
-0.75	3.48	-0.32	1.06	0.5	16444.21
3.28	2.83	-1.15	-0.55	0.03	15048.12
-0.47	0.99	0.29	0.35	1.69	362.64
2.52	1.99	3.25	0.16	2.87	13591.05
2.67	2.3	-0.68	2.59	0.43	10299.87
1.87	1.84	0.4	1.09	3.01	1586.17
-1.39	2.64	-1.03	0.55	2.03	6786.72
1.47	1.94	0.77	2.11	-0.59	3675.87
0.52	-0.81	-0.55	0.66	1.79	464.44
-1.5	2.04	-0.65	-1.23	-1.21	3349.08
-1.24	3.31	-1.45	1.34	2.91	15904.07
0.92	1.27	-1.28	0.92	0.43	929.06
-1.44	3.48	2.71	2.23	-0.08	14219.67
1.3	-0.42	-1.49	1.83	3.45	748.13
0.13	3.18	-0.22	0.58	1.47	11840.31
1.38	3.36	-1.35	-1.12	2.16	17151.4
-1.46	-0.0	-0.18	-0.98	0.87	573.29
2.12	-0.31	1.72	-0.69	-0.44	3993.28
-0.98	1.71	0.54	1.21	2.98	943.4
2.91	2.27	1.2	-0.19	1.89	6020.29
1.58	-1.43	2.08	3.33	-0.2	14397.83
-1.08	0.03	-0.86	0.72	1.21	259.93
-1.36	-1.03	-0.09	1.92	2.87	1405.58
-0.3	2.26	2.57	-0.84	2.0	6834.16
-0.67	2.91	1.7	-1.22	1.74	6893.81
0.75	1.13	2.21	0.36	2.33	2652.15
2.57	-0.48	0.07	-0.23	0.16	5035.85
1.95	-1.15	2.77	0.02	-0.92	8613.27
0.92	2.42	2.44	-0.96	0.79	6204.26
0.47	-0.24	3.21	-1.3	0.0	14778.12
0.44	1.42	2.96	1.86	0.79	5720.4
1.63	-1.25	-1.45	1.19	0.08	2707.18
-0.82	0.74	2.65	-0.91	-1.19	7151.94
0.71	1.74	-0.93	1.49	3.21	1860.67
-0.04	-0.86	3.1	2.32	3.37	6361.46
-0.9	2.53	2.91	2.17	2.27	6086.88
-1.0	2.42	1.55	2.7	2.63	4245.77
1.13	2.32	0.96	-0.82	3.01	2919.4
-0.28	3.44	1.51	2.81	2.52	14717.16
-1.29	2.32	0.66	-0.46	-0.49	2411.79
2.32	0.12	1.76	2.21	0.0	5542.78
1.66	2.25	1.34	0.96	-1.24	1950.45
3.35	2.38	2.73	-0.05	0.16	14323.4
0.63	-0.6	0.81	-1.19	1.88	489.49
2.69	1.9	-1.48	3.07	3.38	9183.76
-0.74	2.82	-0.45	1.54	0.28	8201.52
0.24	-0.28	-0.57	-0.42	-0.39	147.71
1.27	0.1	3.45	-0.25	1.44	16378.77
1.95	1.81	-0.74	3.25	3.49	7751.88
-0.34	-0.82	1.11	-1.28	-0.09	1046.8
0.15	0.07	0.78	1.14	1.35	90.47
0.01	2.3	1.24	-0.89	1.56	2823.8
0.22	-0.74	3.08	3.12	0.73	12876.95
2.27	1.65	3.37	0.1	1.61	14205.2
1.67	0.4	0.06	-0.86	-0.99	950.57
0.82	3.02	3.29	1.5	1.36	12733.18
-1.03	-0.86	1.56	0.61	-0.36	830.49
-0.08	3.32	1.37	-1.15	3.27	11721.67
2.14	0.22	3.28	-1.05	-0.66	17210.72
0.82	-0.46	1.19	1.59	2.83	238.65
0.6	2.14	3.08	0.01	2.66	10236.21
-0.44	1.78	-1.44	2.14	3.17	2584.47
2.71	0.05	3.36	2.19	1.93	15560.21
-0.04	0.91	0.16	0.34	1.07	230.36
0.8	2.6	2.91	0.98	1.64	7526.01
2.27	-1.32	1.21	3.13	1.32	11693.07
2.84	1.46	0.41	-0.62	3.37	5619.85
1.59	2.38	-0.12	3.01	-1.13	14636.84
