1.16	-1.13	-0.82	1.51	3.22	0.68	10610.63
0.1	-0.22	1.42	1.96	2.0	-0.1	2218.28
2.17	1.93	-1.46	-0.33	-1.22	-0.57	4681.78
0.75	2.75	-1.33	3.32	0.94	3.09	19293.0
-0.81	-0.45	2.24	-0.83	-1.05	-1.17	4790.2
0.24	2.97	2.93	2.99	3.16	-0.21	21201.56
-0.26	3.39	2.87	1.6	2.64	3.21	14370.68
1.81	0.79	0.85	3.2	1.75	3.42	8463.89
0.38	-1.25	1.71	2.77	1.9	1.15	4146.68
-0.94	-1.42	-1.39	1.94	1.23	-0.24	2656.47
3.14	1.39	2.5	1.76	2.82	0.92	14185.72
-1.1	-0.72	-0.69	0.09	1.58	0.48	1198.48
-0.31	1.09	2.0	0.93	2.44	-1.28	6592.59
0.15	2.71	-0.76	-0.4	-0.16	0.97	7494.96
0.49	1.72	1.53	-1.48	0.66	-0.75	2265.07
-1.45	-0.74	3.31	3.21	2.64	3.06	14995.55
1.38	2.16	-0.4	1.84	0.65	1.81	3799.95
-1.02	1.24	0.34	3.34	3.3	-0.32	19939.88
2.56	0.68	0.64	2.71	2.02	-0.24	8690.08
-0.94	2.74	2.58	-0.78	-1.08	-0.51	8885.63
3.38	0.08	0.17	2.08	-0.69	-0.15	15859.77
2.96	0.79	3.28	1.3	-0.37	0.45	16451.37
0.39	-0.48	-0.69	0.68	-0.66	1.91	480.47
1.85	2.94	-0.2	3.38	2.66	-1.05	23258.12
0.09	1.56	0.28	0.98	1.13	1.96	837.14
-1.39	-0.75	0.27	3.32	1.24	-1.45	12259.15
0.95	-0.15	0.54	1.47	3.14	-1.21	12632.22
1.34	0.18	3.36	0.86	0.13	1.76	12594.1
2.7	-0.58	-1.43	2.18	2.44	1.53	9013.83
1.24	1.15	0.0	2.43	-1.4	2.98	6229.5
2.8	-1.34	3.03	3.19	-0.62	1.61	23994.75
2.1	0.82	1.18	-0.87	3.05	1.61	8278.68
3.45	0.16	-1.06	0.7	2.16	-0.96	17380.44
3.08	2.75	1.34	3.46	1.78	2.13	19195.74
3.18	-1.11	2.61	0.12	2.63	2.85	19615.84
2.06	0.43	1.06	-0.61	0.91	0.81	1864.49
3.47	-1.07	1.83	0.18	2.95	0.13	26456.26
1.32	1.81	0.62	2.16	3.16	-1.18	13721.88
-0.48	2.8	0.27	-0.08	-0.62	-0.97	6625.54
0.31	-0.14	3.35	-0.88	2.92	-0.31	24044.86
0.07	2.03	0.49	0.85	-0.69	0.04	1989.24
3.41	1.66	0.18	-0.7	1.06	0.84	10703.66
2.96	2.02	2.16	0.09	2.19	0.79	9096.75
0.4	2.37	0.3	1.8	1.39	-1.21	4940.81
0.31	1.58	-0.77	3.13	-1.48	0.73	14875.58
0.14	1.62	1.86	0.88	0.43	1.09	1075.98
2.56	1.55	-0.31	1.84	1.98	1.28	4444.35
