1.31	3.04	-0.28	9245.62
-0.14	-0.87	2.76	485.18
0.35	-0.53	2.19	409.81
3.28	2.85	2.88	9011.28
1.35	0.92	-0.67	311.53
0.82	1.07	0.87	23.4
2.36	2.51	0.78	3987.4
2.35	2.65	2.49	2884.03
2.05	2.8	0.78	5185.4
-0.07	0.24	3.14	957.37
-0.83	0.11	-1.28	204.61
0.51	1.89	3.11	288.04
2.79	-0.38	1.38	6823.03
-0.99	1.75	0.1	941.44
1.58	-1.44	2.41	1567.13
3.49	1.5	0.52	11712.19
0.76	0.92	1.99	142.57
0.46	0.08	1.29	167.63
-0.04	0.03	1.22	150.72
1.55	0.72	2.6	716.77
1.32	2.42	2.71	1038.02
0.5	2.9	2.0	4814.92
-1.27	0.61	0.22	108.2
2.79	3.36	1.88	10820.1
0.14	3.19	-0.12	11611.65
2.92	0.57	1.34	6437.34
3.38	0.93	3.31	11616.76
2.61	0.75	2.07	3904.82
2.27	-0.34	-0.75	3095.53
2.25	1.38	0.34	1602.52
-0.33	-1.17	0.6	229.16
-0.68	2.24	2.26	1080.78
0.27	-0.6	2.95	719.18
2.07	0.18	1.29	1844.99
-1.48	1.28	3.06	291.21
2.17	2.04	1.93	1212.76
2.75	-0.55	0.24	6587.12
2.85	1.94	0.16	5125.23
-1.48	-0.98	0.4	1046.62
-0.86	2.61	3.05	1771.23
2.73	1.39	2.9	3772.7
-0.6	1.44	3.42	300.67
-0.66	-1.04	0.58	249.82
-0.43	2.14	0.95	1702.99
1.31	0.96	2.78	402.63
-0.23	2.09	0.74	1733.99
2.35	0.89	2.95	2613.49
-1.02	1.86	-0.33	1508.1
-1.2	2.96	2.46	4210.74
3.46	2.82	0.65	13717.05
1.32	0.12	-0.23	270.07
2.88	1.23	-0.46	5383.4
1.44	-1.03	1.2	969.48
2.72	0.66	1.67	4696.05
2.22	2.41	-1.1	5409.89
3.14	0.19	1.71	9635.55
2.02	-0.78	1.94	2543.87
-0.67	0.27	0.88	71.66
2.21	1.28	1.77	1302.23
3.46	1.11	-1.25	12419.58
2.34	-1.26	0.98	4580.65
-0.86	3.49	-1.44	19316.84
-0.94	3.48	3.31	8428.75
1.46	-0.17	3.24	1562.43
0.08	0.33	0.89	72.78
2.34	-0.87	2.29	4267.0
3.34	-0.79	0.24	14293.17
1.8	-0.27	-1.39	1448.27
0.78	2.43	-0.37	4271.35
-0.27	-0.61	-0.68	161.53
-0.95	-1.2	2.96	681.73
-0.23	2.31	1.46	2015.09
3.03	0.39	2.52	8293.18
2.77	1.41	0.45	4162.27
1.02	-0.07	1.67	401.7
3.47	0.59	3.41	14056.1
2.02	-0.4	2.53	2572.09
2.03	0.99	1.01	981.4
2.01	-1.2	0.08	2936.68
-0.54	0.73	-0.56	141.11
-1.42	0.22	0.17	330.65
3.3	2.38	-1.26	12043.94
-1.4	-1.01	3.49	1501.93
-0.04	2.82	-0.88	8599.86
0.48	2.58	0.16	4775.15
0.71	2.76	-0.74	7497.04
3.46	2.02	-0.05	11616.55
1.38	-1.3	-0.15	1370.81
1.39	-1.04	1.17	888.43
3.05	3.47	-1.18	20891.33
1.57	-0.76	-0.77	1225.02
2.1	-0.58	0.48	2495.78
2.72	-0.25	2.86	6636.92
-1.21	-0.3	-1.03	443.22
0.2	0.05	-0.52	28.85
3.45	2.53	1.66	11040.33
-0.43	0.28	3.28	1028.49
1.0	-0.97	1.43	415.89
-0.83	3.33	-0.13	13292.69
1.44	0.09	3.15	1381.64
2.26	-0.69	-1.5	3756.16
2.55	-0.94	2.91	5955.88
0.18	2.82	-0.18	7394.65
0.76	3.45	-0.57	16387.45
-1.47	3.38	-0.37	14071.17
1.14	3.48	-0.69	16866.61
2.45	0.85	-0.89	2916.97
1.97	1.55	0.16	1047.43
1.24	0.07	-0.09	217.21
2.79	-1.24	2.53	8250.15
-0.18	-0.77	2.73	525.63
-1.0	2.8	1.03	4968.85
-0.47	0.51	-0.74	110.78
1.67	-0.85	2.35	1592.91
-0.35	-0.22	-0.33	29.36
1.38	-1.01	2.99	1241.61
2.97	0.16	1.13	7627.68
-1.1	1.21	1.82	17.12
2.29	2.83	0.03	6954.09
1.32	-1.45	1.3	1089.65
2.61	0.9	0.7	3499.1
0.25	1.52	3.34	319.27
-0.6	3.41	1.84	10519.31
-0.6	2.75	-1.5	8789.72
0.44	0.51	2.35	447.33
0.05	1.03	3.47	686.86
-0.03	2.57	-0.44	5626.61
0.59	0.81	1.53	97.91
3.19	-0.99	-0.63	12736.18
1.11	1.88	-0.44	1622.35
-0.68	-1.23	1.44	294.75
-1.16	3.26	-1.3	14603.03
1.38	3.02	1.51	5920.5
1.03	1.35	1.99	11.29
-1.47	0.53	-0.78	384.86
2.69	1.66	1.62	3241.54
-0.12	1.36	-0.36	670.68
2.29	2.93	2.12	4720.39
-1.48	2.01	1.33	744.89
0.78	0.98	1.99	119.87
-0.6	0.41	-0.69	76.79
2.99	0.47	2.82	7854.03
-1.04	-0.76	-1.47	765.67
-0.14	2.37	0.17	3522.49
1.3	0.59	-1.1	330.96
0.35	0.3	2.95	822.02
-0.57	2.51	2.46	1956.85
0.54	2.17	1.73	1241.8
1.71	2.71	3.13	1783.88
-0.3	1.0	0.13	160.19
0.07	3.18	3.18	5819.56
3.07	-1.26	2.07	11449.37
-0.82	3.04	2.92	4564.29
3.41	-0.8	2.48	15793.38
-1.3	3.25	1.61	8268.44
1.08	2.4	1.5	1968.9
-1.16	0.54	2.4	514.31
-0.05	2.74	1.65	4184.67
-1.03	1.28	-0.54	483.54
3.3	-0.41	2.92	13533.57
0.16	3.15	2.61	6328.78
-0.29	-0.65	-1.17	311.88
3.32	0.26	2.3	12087.22
-0.81	1.45	2.15	66.73
-0.83	2.14	1.94	911.97
0.07	3.27	1.56	9413.09
2.65	1.77	2.61	2789.53
0.33	0.74	1.91	225.96
2.99	2.28	2.19	5346.34
2.82	0.26	0.9	5990.45
-0.85	-1.16	0.43	446.3
1.98	0.2	1.56	1616.78
3.43	1.06	1.1	11465.45
-1.14	2.85	-0.35	7426.7
-0.48	-0.56	-0.28	102.33
-1.0	1.28	-0.96	687.09
0.52	3.05	2.25	5750.83
-0.77	-0.03	1.98	434.68
1.16	3.38	-0.66	15022.84
0.26	2.16	-1.36	4070.49
0.6	3.14	3.36	5002.06
0.1	-0.19	2.68	705.25
-0.63	2.14	-0.23	2621.02
2.96	-0.68	-1.44	9282.96
-0.05	1.79	1.63	569.02
-0.04	3.27	1.41	9691.7
3.42	1.0	-1.23	11944.44
3.06	-0.24	-1.28	9407.61
2.64	0.77	-1.48	4275.94
-0.24	-1.29	2.52	261.64
3.23	3.31	1.03	14936.63
1.1	0.41	3.13	941.64
-0.43	-1.19	3.44	605.49
2.12	3.5	0.06	14966.0
1.56	0.46	2.23	797.51
-0.98	0.07	2.39	652.94
-0.68	0.29	2.36	524.27
-1.31	-0.44	1.83	740.07
2.42	2.33	0.87	3325.69
1.29	-0.28	2.58	1005.48
-0.47	1.88	1.8	579.01
-0.64	1.77	-0.03	1188.74
-1.47	0.91	-1.12	542.09
1.88	-0.82	2.21	2136.59
2.91	2.34	3.34	4216.88
3.4	2.77	1.03	12148.11
1.81	-0.98	2.26	1984.91
0.68	-1.06	-0.63	543.63
2.19	3.26	-0.54	12714.01
1.91	-1.09	0.64	2280.2
2.61	3.29	2.15	8772.36
1.97	0.14	1.46	1608.59
1.14	-1.32	3.43	976.43
-1.11	-0.51	1.89	575.88
3.36	0.64	-1.0	11545.79
1.36	-0.2	-0.62	465.22
2.46	-0.01	-0.64	3718.42
-1.17	0.98	1.95	117.76
-0.23	1.54	-1.14	1456.08
0.59	-0.22	-0.24	42.25
3.07	2.23	0.41	7264.46
1.52	1.07	3.41	667.2
1.76	-1.25	3.22	2170.53
1.73	0.69	0.01	552.69
3.2	3.28	2.59	11526.47
1.87	1.27	-0.5	943.17
0.41	2.39	0.47	3243.93
-1.15	1.78	0.15	937.24
-0.7	3.38	0.19	13464.94
2.57	-1.44	-1.34	7645.73
2.0	-0.21	-1.37	1974.84
0.08	3.17	3.17	5738.32
0.71	3.06	-0.05	9519.18
0.43	0.43	1.21	111.74
0.81	0.28	-0.91	112.39
1.93	2.94	0.89	6078.07
0.9	3.07	0.98	7646.69
2.84	2.53	-0.35	7627.48
1.13	3.1	2.25	5753.76
3.42	1.36	-0.35	11173.93
1.84	2.33	2.72	847.72
-1.21	0.19	-0.25	176.06
0.99	1.55	2.71	42.24
1.25	1.52	-1.23	1253.96
0.93	0.19	2.21	518.79
0.21	1.94	2.86	442.6
1.99	-0.43	0.68	1954.84
-1.42	0.31	2.94	1106.29
1.09	2.29	1.14	1807.45
-0.04	-0.34	-0.8	98.38
0.09	-0.98	-0.5	315.66
1.87	3.22	-0.18	11140.23
-1.23	2.07	1.98	568.41
0.72	1.5	2.41	99.24
3.16	1.91	1.85	6850.34
0.73	-0.29	3.26	1078.09
0.98	-0.03	3.22	1135.41
-1.21	0.22	2.65	837.1
2.3	0.09	2.35	3254.97
-1.26	1.14	2.01	75.63
2.02	3.44	2.52	8722.32
2.75	0.41	-1.03	5262.78
1.85	-0.41	2.52	2024.66
-0.8	-0.2	-0.5	104.4
1.23	1.14	0.74	45.29
2.77	0.91	1.45	4615.5
-0.6	0.83	-0.22	107.29
-0.04	3.3	0.73	11416.88
0.39	-0.86	-0.3	214.34
2.28	-0.14	-1.25	3013.98
0.86	2.71	2.18	3057.98
1.15	-0.66	1.64	540.87
1.55	0.55	1.04	398.07
1.61	2.2	1.36	1228.23
-1.04	3.37	1.5	10249.3
-0.15	0.32	0.35	16.77
